rating,review,date,likes,app_version
5,Good bank but kept trying to change my current account to a business account at 77 years old why do I want a business account tried many ways to contact but messages kept saying fill in to start a business account I was very happy till then account now closed,2026-02-20 22:47:25,0,
5,"great, easy to use.",2026-02-20 22:17:21,0,10.117
5,Good,2026-02-20 22:13:34,0,
5,"I think it's a really handy app to have, I was struggling to get used to it at first as it's my first time but I've got the hang of it and I've not had any problems with it so far",2026-02-20 22:12:17,0,10.117
1,I was doing an order before midnight to avoid the weekend fee just to find out that weekend begins at 11 PM on Friday. Huge scam. I also sent a referral and the friend used it but before it was confirmed it said due deadline...,2026-02-20 21:48:46,0,10.117
4,a refreshing way of bankers working for the customer,2026-02-20 21:47:41,0,10.117
5,works fast and perfect.,2026-02-20 21:45:28,0,10.117
1,awful neobank. Got banned from using their services without knowing their reasons. Awful customer support .,2026-02-20 21:34:40,0,
5,very good,2026-02-20 21:22:40,0,10.117
5,"So easy. So innovative. They got me when I just wanted a disposable credit card. But now after 8 years they do everything for me. I tried trading and crypto, and they're awesome at it, but nowadays I just like that I can rely on them 247. Punto",2026-02-20 21:13:39,0,10.117
5,good app,2026-02-20 21:11:03,0,
4,"my compliments,",2026-02-20 21:07:37,0,10.117
5,"Good app, they had some bugs but support were able to fix it up, does it's job well",2026-02-20 21:04:36,0,
5,"I got a new phone and pay virgin media but they gave me a new chip and pin number with my old one , I can't remember my new pin number if I try again N I'll be blocked, I have my pin um i have years now",2026-02-20 21:03:07,0,10.117
5,The future is now. Super good banking app.,2026-02-20 20:47:45,0,10.118
5,everything you need in one place.... brilliant,2026-02-20 20:36:39,0,10.118
5,everything going smooth with Revolut 5*,2026-02-20 20:21:40,0,10.117
4,More convenient access to view my account and easier to split bills for less than the Bank of Ireland account I was using. Subtracting a star because they changed something and now the suggested people to split a bill with doesn't include the people I mostly split bills with.,2026-02-20 20:04:02,0,10.117
1,"Barely usable. Expect to have your account restricted and frozen every other transaction, for no obvious reasons. App starts requesting personal financial documents and overstepping boundaries. Support is near useless, any proper support is not reachable.",2026-02-20 20:02:38,0,10.110
2,"Revolut app is crashing, especially when you tap the invest button.",2026-02-20 19:59:14,0,10.117
5,great product,2026-02-20 19:31:20,0,10.117
5,best,2026-02-20 19:08:20,0,10.117
5,great very handy,2026-02-20 18:58:57,0,10.117
5,At the moment it's the best!,2026-02-20 18:57:40,0,10.117
2,Took me 100 attempts to pass verification. Why do I need to go through this painful verification process again on a new device in the first place ?,2026-02-20 18:40:32,0,10.117
5,wonderful🙏,2026-02-20 18:29:38,0,10.117
5,excellent banking app,2026-02-20 18:13:31,0,10.117
5,brilliant and easy!!,2026-02-20 18:10:48,0,10.114.2
1,Been trying for an hour to download my id keeps saying no Internet what a load of tripe im writing this whilst connected to the same Internet...ive installed it cleared cache but nothing il try a different card waste of my time,2026-02-20 18:03:17,0,
4,working fine me now.,2026-02-20 17:50:04,0,10.117
5,excellent all round,2026-02-20 17:35:05,0,
5,very good so far,2026-02-20 17:31:12,0,10.117
5,Convenience without humiliation,2026-02-20 17:26:39,0,10.117
5,BEST BANKING APP EVER !!!,2026-02-20 17:11:25,0,
5,great,2026-02-20 17:06:50,0,
5,10/10 fr,2026-02-20 16:50:23,0,10.117
5,Great,2026-02-20 16:40:23,0,10.117
5,was amazing while I had a visit to the USA,2026-02-20 16:37:53,0,10.117
1,"Typically 5 stars but lately it's been incredibly laggy, slow and crashing after a short usage. especially on the stocks and investments pages. once this is fixed I'll bring it back up to 5 stars, but right now the performance and bugs are unacceptable. if anyone from revolut sees this I'm happy to share version number, my phone os and android details. this needs to be fixed. only the last month it's been like this - expected it to be patched by now.",2026-02-20 16:26:50,0,10.117
5,It's good. Works in Singapore well.,2026-02-20 16:11:05,0,10.117
5,nice service,2026-02-20 15:58:45,0,10.117
2,Lower tier plans loose their value with time. Revolut downgrades their benefits.,2026-02-20 15:55:11,0,10.118
5,been using it for 7 months now and i havent encountered anything disappointing.,2026-02-20 15:49:43,0,10.117
5,Works perfect,2026-02-20 15:42:51,0,10.118
5,best banking app in terms of user interface,2026-02-20 15:42:26,0,10.117
4,"Fast transactions, so far good. Got to be careful what addons or settings u pick, might add some fees",2026-02-20 15:36:40,0,10.117
5,"Super cool and smooth approach to manage money for donations, small payments, or travel currency. No need to use Western Union or Moneygram or spend time going through banking validation to pay a friend a few quid. App is robust and flawless, so easy to use whether at home or on the move",2026-02-20 15:22:02,0,10.118
5,very fast and gives great features to quick transactions between people,2026-02-20 15:13:43,0,10.117
5,great for luxury payments rather than using your personal bank cards. also great for euros exchange,2026-02-20 15:12:09,0,10.117
5,Nice working app.,2026-02-20 15:11:37,0,10.117
5,great app to use for banking. I'd recommend it to any of my friends if they're asking about opening a new bank account,2026-02-20 15:01:34,0,10.117
5,"by the moment, no problems, i have just a week hahaha i'll come back in the 2nd mounth",2026-02-20 14:35:34,0,10.118
5,"easy to use, safe and customer service quick and helpful",2026-02-20 14:34:42,0,10.117
5,Excelent. Îl recomand cu încredere.,2026-02-20 14:29:34,0,10.117
5,"I don't use a lot of the advanced features but it's a great app for basic day to day , savings or budgeting. in app chat, helpful and prompt customer service. group pockets and much more! customized debit cards too. love u guys",2026-02-20 14:22:56,0,
5,all good so far,2026-02-20 14:10:53,0,10.117
5,amazing not one problem with it,2026-02-20 14:04:24,0,10.117
1,not very good tried signing up said I already had an account but lacked in resolving the situation and closed the account it let me open disappointed,2026-02-20 13:57:07,0,10.117
5,Good,2026-02-20 13:50:40,0,10.117
5,"brilliant, quick and easy",2026-02-20 13:43:15,0,10.117
5,"I was quite skeptical joining Revolut at a friend's invitation but have been pleasently surprised. The app UI is adequate, but exploring the functionality is what has been truly surprising: the fund movements are immediate, the options to invest and save are friendly and highly competitive, and if you can run the numbers to see if joining a premium plan is worth it for you. Keep it up, Revolut.",2026-02-20 13:40:43,30,10.117
5,"great and super convenient for international use. I often travel with my Revolut and Monzo card. some places only support Visa or MasterCard so I always have both with me to use abroad, avoid fees and for transferring funds amongst groups etc.",2026-02-20 13:37:32,0,10.117
5,nice,2026-02-20 13:30:44,0,10.117
5,excellent app and bank,2026-02-20 13:28:34,0,10.117
5,Helpful,2026-02-20 13:13:03,0,10.117
5,nice,2026-02-20 13:03:00,0,10.117
5,easy to use,2026-02-20 12:54:30,0,10.117
5,very good,2026-02-20 12:47:10,0,10.117
5,"love this app, safe and practical",2026-02-20 12:41:57,0,10.116
5,"works really well, easy use.",2026-02-20 12:41:35,0,10.117
5,great app,2026-02-20 12:38:20,0,
5,All good. :),2026-02-20 12:35:19,0,10.117
4,It provides a great service to this point. The only issue is the new fees introduced and customer service not keeping their word for especially when you were scammed and money was lost! It would be great to do further investigation and check where my money went to! Many thanks,2026-02-20 12:35:01,0,
5,very good 👍,2026-02-20 12:34:55,0,10.117
