rating,review_text,review_len,churn_risk
5,good bank but kept trying to change my current account to a business account at 77 years old why do i want a business account tried many ways to contact but messages kept saying fill in to start a business account i was very happy till then account now closed,259,0
5,"great, easy to use.",19,0
5,good,4,0
5,"i think it's a really handy app to have, i was struggling to get used to it at first as it's my first time but i've got the hang of it and i've not had any problems with it so far",179,0
1,i was doing an order before midnight to avoid the weekend fee just to find out that weekend begins at 11 pm on friday. huge scam. i also sent a referral and the friend used it but before it was confirmed it said due deadline...,227,1
4,a refreshing way of bankers working for the customer,52,0
5,works fast and perfect.,23,0
1,awful neobank. got banned from using their services without knowing their reasons. awful customer support .,107,1
5,very good,9,0
5,"so easy. so innovative. they got me when i just wanted a disposable credit card. but now after 8 years they do everything for me. i tried trading and crypto, and they're awesome at it, but nowadays i just like that i can rely on them 247. punto",244,0
5,good app,8,0
4,"my compliments,",15,0
5,"good app, they had some bugs but support were able to fix it up, does it's job well",83,0
5,"i got a new phone and pay virgin media but they gave me a new chip and pin number with my old one , i can't remember my new pin number if i try again n i'll be blocked, i have my pin um i have years now",202,0
5,the future is now. super good banking app.,42,0
5,everything you need in one place.... brilliant,46,0
5,everything going smooth with revolut 5*,39,0
4,more convenient access to view my account and easier to split bills for less than the bank of ireland account i was using. subtracting a star because they changed something and now the suggested people to split a bill with doesn't include the people i mostly split bills with.,276,0
1,"barely usable. expect to have your account restricted and frozen every other transaction, for no obvious reasons. app starts requesting personal financial documents and overstepping boundaries. support is near useless, any proper support is not reachable.",255,1
2,"revolut app is crashing, especially when you tap the invest button.",67,1
5,great product,13,0
5,best,4,0
5,great very handy,16,0
5,at the moment it's the best!,28,0
2,took me 100 attempts to pass verification. why do i need to go through this painful verification process again on a new device in the first place ?,147,1
5,wonderful🙏,10,0
5,excellent banking app,21,0
5,brilliant and easy!!,20,0
1,been trying for an hour to download my id keeps saying no internet what a load of tripe im writing this whilst connected to the same internet...ive installed it cleared cache but nothing il try a different card waste of my time,227,1
4,working fine me now.,20,0
5,excellent all round,19,0
5,very good so far,16,0
5,convenience without humiliation,31,0
5,best banking app ever !!!,25,0
5,great,5,0
5,10/10 fr,8,0
5,great,5,0
5,was amazing while i had a visit to the usa,42,0
1,"typically 5 stars but lately it's been incredibly laggy, slow and crashing after a short usage. especially on the stocks and investments pages. once this is fixed i'll bring it back up to 5 stars, but right now the performance and bugs are unacceptable. if anyone from revolut sees this i'm happy to share version number, my phone os and android details. this needs to be fixed. only the last month it's been like this - expected it to be patched by now.",454,1
5,it's good. works in singapore well.,35,0
5,nice service,12,0
2,lower tier plans loose their value with time. revolut downgrades their benefits.,80,1
5,been using it for 7 months now and i havent encountered anything disappointing.,79,0
5,works perfect,13,0
5,best banking app in terms of user interface,43,0
4,"fast transactions, so far good. got to be careful what addons or settings u pick, might add some fees",101,0
5,"super cool and smooth approach to manage money for donations, small payments, or travel currency. no need to use western union or moneygram or spend time going through banking validation to pay a friend a few quid. app is robust and flawless, so easy to use whether at home or on the move",288,0
5,very fast and gives great features to quick transactions between people,71,0
5,great for luxury payments rather than using your personal bank cards. also great for euros exchange,99,0
5,nice working app.,17,0
5,great app to use for banking. i'd recommend it to any of my friends if they're asking about opening a new bank account,118,0
5,"by the moment, no problems, i have just a week hahaha i'll come back in the 2nd mounth",86,0
5,"easy to use, safe and customer service quick and helpful",56,0
5,excelent. îl recomand cu încredere.,35,0
